"","x"
"AT1G01010",1
"AT1G01020",6
"AT1G01030",1
"AT1G01040",6
"AT1G01050",3
"AT1G01060",5
"AT1G01070",5
"AT1G01080",1
"AT1G01090",8
"AT1G01100",2
"AT1G01110",5
"AT1G01120",1
"AT1G01130",1
"AT1G01140",1
"AT1G01150",1
"AT1G01160",4
"AT1G01170",1
"AT1G01180",18
"AT1G01183",22
"AT1G01190",5
"AT1G01200",5
"AT1G01210",3
"AT1G01220",2
"AT1G01225",4
"AT1G01230",3
"AT1G01240",4
"AT1G01250",7
"AT1G01260",2
"AT1G01280",19
"AT1G01290",0
"AT1G01300",2
"AT1G01305",24
"AT1G01310",8
"AT1G01320",2
"AT1G01340",14
"AT1G01350",4
"AT1G01360",1
"AT1G01370",13
"AT1G01380",10
"AT1G01390",14
"AT1G01420",9
"AT1G01430",4
"AT1G01440",2
"AT1G01448",5
"AT1G01460",7
"AT1G01470",5
"AT1G01480",9
"AT1G01490",8
"AT1G01500",5
"AT1G01510",3
"AT1G01520",12
"AT1G01530",5
"AT1G01540",3
"AT1G01550",3
"AT1G01560",5
"AT1G01570",10
"AT1G01580",5
"AT1G01590",7
"AT1G01600",5
"AT1G01610",4
"AT1G01620",2
"AT1G01630",4
"AT1G01640",10
"AT1G01650",2
"AT1G01660",3
"AT1G01670",3
"AT1G01680",3
"AT1G01690",0
"AT1G01695",13
"AT1G01700",10
"AT1G01710",1
"AT1G01720",1
"AT1G01725",1
"AT1G01730",1
"AT1G01740",6
"AT1G01750",0
"AT1G01760",6
"AT1G01770",6
"AT1G01780",0
"AT1G01790",2
"AT1G01800",7
"AT1G01810",12
"AT1G01820",3
"AT1G01830",3
"AT1G01840",11
"AT1G01860",6
"AT1G01880",3
"AT1G01900",5
"AT1G01910",2
"AT1G01920",6
"AT1G01930",2
"AT1G01940",3
"AT1G01950",3
"AT1G01960",3
"AT1G01970",4
"AT1G01980",7
"AT1G01990",4
"AT1G02000",12
"AT1G02010",6
"AT1G02020",11
"AT1G02030",10
"AT1G02040",31
"AT1G02050",2
"AT1G02060",2
"AT1G02065",1
"AT1G02070",1
"AT1G02074",5
"AT1G02080",3
"AT1G02090",1
"AT1G02100",4
"AT1G02110",3
"AT1G02120",2
"AT1G02130",2
"AT1G02140",2
"AT1G02145",2
"AT1G02150",5
"AT1G02160",2
"AT1G02170",8
"AT1G02180",3
"AT1G02190",1
"AT1G02205",1
"AT1G02220",14
"AT1G02230",4
"AT1G02250",22
"AT1G02260",6
"AT1G02270",4
"AT1G02280",1
"AT1G02290",2
"AT1G02300",6
"AT1G02305",3
"AT1G02310",22
"AT1G02320",15
"AT1G02330",2
"AT1G02335",5
"AT1G02340",1
"AT1G02350",1
"AT1G02360",1
"AT1G02370",8
"AT1G02380",4
"AT1G02390",14
"AT1G02400",5
"AT1G02405",23
"AT1G02410",0
"AT1G02420",0
"AT1G02430",1
"AT1G02440",15
"AT1G02450",11
"AT1G02460",9
"AT1G02470",1
"AT1G02475",1
"AT1G02490",13
"AT1G02500",3
"AT1G02510",12
"AT1G02520",1
"AT1G02530",3
"AT1G02560",5
"AT1G02575",27
"AT1G02580",10
"AT1G02590",12
"AT1G02610",18
"AT1G02620",27
"AT1G02630",9
"AT1G02640",1
"AT1G02650",4
"AT1G02660",11
"AT1G02670",3
