Matrix ID in TRANSFAC,TF ID in TRANSFAC,TAIR ID,Information Content
M00089,T01474,AT3G01470,13.39
M00151,T01007,AT4G18960,9.06
M00218,T01568,AT2G32460,14.28
M00226,T01590,AT2G47460,6.12
M00343 + M00344,T02637,AT1G13260,14.25
M00352,T01059,AT1G21340,5.64
M00353,T15264,AT1G51700,5.33
M00354,T02691,AT3G55370,5.31
M00358,T02790,AT3G62420,12.84
M00361,T02855,AT1G09770,7.86
M00371,T09449,AT5G28770,5.98
M00375,T00830,AT2G40950,6.11
M00376,T09478,AT5G65210,5.5
M00392,T03025,AT2G03710,8.72
M00417,T04001,AT1G30490,29.69
M00435,T04492,AT1G09530,10.85
M00438,"T04507, T04514, T04516, T04528, T04529,T04530, T04531","AT1G19850, AT1G59750, AT5G62000, AT1G30330, AT5G20730, AT5G37020, AT5G60450",6.75
M00439,"T01592, T02946","AT4G38620, AT4G34990",4.43
M00441,"T01079, T01080, T13945","AT4G01120, AT2G46270, AT2G35530",8.41
M00442,"T03820, T03823, T03824, T03825","AT1G49720, AT1G45249, AT4G34000, AT3G19290",10.86
M00501,T02639,AT4G37750,11.03
M00502,T04804,AT3G20770,5.86
M00503,T04066,AT5G65310,22.68
M00635,T04454,AT1G13450,4.74
M00660,T02786,AT5G24800,5.57
M00681,"T09147, T09148","AT3G56400, AT4G24240",8.52
M00697,T00938,AT3G12250,8.59
M00702,T03975,AT2G38470,7.13
M00735,T03722,AT2G04880,8.36
M00798,T05553,AT3G11440,4.66
M00819,T02063,AT4G08150,5.13
M00820,T08621,AT2G46680,8.19
M00948,T10960,AT2G45680,7.07
M00952,T05738,AT3G15030,7.59
M00958,T05743,AT2G40220,14.15
M00968,T02590,AT3G50060,8.48
M00969,T02534,AT3G23250,11.92
M00970,T02597,AT3G49690,12.03
M01006,T06043,AT1G08010,7.37
M01021,T03994,AT4G02670,7.66
M01050,T05654,AT4G31920,5.87
M01052,T06533,AT2G01060,8.1
M01055,T06532,AT3G04070,13.4
M01057,T02654,AT4G17500,6.27
M01059,T03022,AT3G58780,8.69
M01061,T03024,AT5G15800,9.09
M01114,"T05582, T06393","AT2G36010, AT5G22220",7.67
M01126,T09002,AT2G01930,4.8
M01128,T08411,AT3G61850,5.62
M01135,T09610,AT5G06100,5.84
M01156,T09158,AT1G75080,6.12
M01179,T08415,AT4G16150,10.53
M01180,T09195,AT1G20980,7.48
M01188,T14491,AT4G35580,5.86
M01191,T14550,AT5G52170,16.75
M01192,T14551,AT5G17320,10.59
M01193,T14552,AT4G21750,11.95
M01194,T14553,AT4G04890,7.2
M01581,T03018,AT5G13790,8.92
M01582,T03032,AT1G24260,9.84
M01583,"T01588, T06338","AT3G27920, AT5G41315",10.98
M01584,T02812,AT5G11260,7.2
M01585,T06460,AT2G20180,6.94
M01586,T02795,AT5G06950,12.64
M01700,T02636,AT4G25490,3.11
M01701,T17708,AT1G01720,2.87
M01740,T07646,AT4G31550,6.38
M01799,T14421,AT2G16910,5.33
M01806,T15670,AT4G36730,7.21
M01809,T14801,AT3G02310,8.9
M01815,T02796,AT1G22070,7.47
M01819,T02860,AT2G46830,12.04
M01829,"T08410, T14568","AT4G24060, AT5G60200",4.93
M01839,"T06407, T07257, T07424","AT5G14960, AT3G01330, AT3G48160",6.34
M01848,T21746,AT1G69690,8.12
M01849,T13992,AT3G27010,7.96
M01850,T21745,AT2G37000,8.88
